|--------------------------------------------------------------------------------------|
|Bill Of Materials for bogiectl3.sch on Sun Nov 25 15:34:11 2012                       |
|--------------------------------------------------------------------------------------|
|Item|Qty |Reference|Part Name     |Manufacturer  |Description                  |Value |
|41  |1   |R306     |RES-0603,6.2k |IPC SM-782    |SURFACE MOUNT RESISTOR 0.031 |6.2k  |
|    |    |         |              |STD.          |X 0.061 INCHES, 1/10W        |      |
|42  |1   |R307     |RES-0603,860  |IPC SM-782    |SURFACE MOUNT RESISTOR 0.031 |860   |
|    |    |         |              |STD.          |X 0.061 INCHES, 1/10W        |      |
|43  |1   |R101     |RES-0603,NU   |IPC SM-782    |SURFACE MOUNT RESISTOR 0.031 |NU    |
|    |    |         |              |STD.          |X 0.061 INCHES, 1/10W        |      |
|44  |1   |R300     |RES-2512,0.01 |              |2512 SMD Resistor            |0.01  |
|45  |1   |D300     |SCH_CD214A-B36|Bourns        |Diode, Schottky, 3A 60V, SMA |0.7V  |
|    |    |         |0LF,0.7V      |              |                             |      |
|46  |1   |U202     |SN65HVD35     |              |Full Duplex RS-485           |      |
|    |    |         |              |              |Transceiver w/ Enables, 3.3V,|      |
|    |    |         |              |              |SOIC14                       |      |
|47  |1   |U200     |SN74AHCT1G125_|              |Single TTL Buffer, SC-70-5   |      |
|    |    |         |DCK           |              |                             |      |
|48  |1   |S100     |SW_SPST_SWT6-E|              |Tactile Pushbutton, SPST, 6mm|      |
|    |    |         |5M            |              |                             |      |
|49  |1   |U301     |TPS5401       |              |Integrated Buck Converter,   |      |
|    |    |         |              |              |0.5A Max, 42V In Max         |      |
|50  |1   |U302     |TPS79333      |              |3.3V LDO, 200mA Maximum      |      |
|    |    |         |              |              |current                      |      |
|51  |7   |D200-204 |TVS_NUP2105LT1|              |Dual Bidirectional TVS Diode,|      |
|    |    |D400-401 |G             |              |350W, SOT-23                 |      |
|--------------------------------------------------------------------------------------|
